customer_id,name,region,signup_date
1,Customer_1,East,2023-01-01
2,Customer_2,West,2023-01-04
3,Customer_3,North,2023-01-07
4,Customer_4,East,2023-01-10
5,Customer_5,East,2023-01-13
6,Customer_6,West,2023-01-16
7,Customer_7,North,2023-01-19
8,Customer_8,North,2023-01-22
9,Customer_9,East,2023-01-25
10,Customer_10,South,2023-01-28
11,Customer_11,East,2023-01-31
12,Customer_12,East,2023-02-03
13,Customer_13,East,2023-02-06
14,Customer_14,East,2023-02-09
15,Customer_15,West,2023-02-12
16,Customer_16,North,2023-02-15
17,Customer_17,West,2023-02-18
18,Customer_18,West,2023-02-21
19,Customer_19,West,2023-02-24
20,Customer_20,East,2023-02-27
21,Customer_21,South,2023-03-02
22,Customer_22,North,2023-03-05
23,Customer_23,South,2023-03-08
24,Customer_24,West,2023-03-11
25,Customer_25,West,2023-03-14
26,Customer_26,South,2023-03-17
27,Customer_27,South,2023-03-20
28,Customer_28,South,2023-03-23
29,Customer_29,West,2023-03-26
30,Customer_30,West,2023-03-29
31,Customer_31,North,2023-04-01
32,Customer_32,North,2023-04-04
33,Customer_33,West,2023-04-07
34,Customer_34,South,2023-04-10
35,Customer_35,South,2023-04-13
36,Customer_36,North,2023-04-16
37,Customer_37,West,2023-04-19
38,Customer_38,North,2023-04-22
39,Customer_39,North,2023-04-25
40,Customer_40,East,2023-04-28
41,Customer_41,East,2023-05-01
42,Customer_42,East,2023-05-04
43,Customer_43,South,2023-05-07
44,Customer_44,West,2023-05-10
45,Customer_45,West,2023-05-13
46,Customer_46,West,2023-05-16
47,Customer_47,West,2023-05-19
48,Customer_48,East,2023-05-22
49,Customer_49,South,2023-05-25
50,Customer_50,South,2023-05-28
51,Customer_51,East,2023-05-31
52,Customer_52,South,2023-06-03
53,Customer_53,East,2023-06-06
54,Customer_54,West,2023-06-09
55,Customer_55,East,2023-06-12
56,Customer_56,West,2023-06-15
57,Customer_57,West,2023-06-18
58,Customer_58,North,2023-06-21
59,Customer_59,East,2023-06-24
60,Customer_60,North,2023-06-27
61,Customer_61,East,2023-06-30
62,Customer_62,East,2023-07-03
63,Customer_63,North,2023-07-06
64,Customer_64,North,2023-07-09
65,Customer_65,East,2023-07-12
66,Customer_66,South,2023-07-15
67,Customer_67,West,2023-07-18
68,Customer_68,North,2023-07-21
69,Customer_69,West,2023-07-24
70,Customer_70,South,2023-07-27
71,Customer_71,South,2023-07-30
72,Customer_72,South,2023-08-02
73,Customer_73,North,2023-08-05
74,Customer_74,South,2023-08-08
75,Customer_75,North,2023-08-11
76,Customer_76,South,2023-08-14
77,Customer_77,West,2023-08-17
78,Customer_78,West,2023-08-20
79,Customer_79,East,2023-08-23
80,Customer_80,West,2023-08-26
81,Customer_81,East,2023-08-29
82,Customer_82,West,2023-09-01
83,Customer_83,North,2023-09-04
84,Customer_84,West,2023-09-07
85,Customer_85,East,2023-09-10
86,Customer_86,East,2023-09-13
87,Customer_87,South,2023-09-16
88,Customer_88,North,2023-09-19
89,Customer_89,West,2023-09-22
90,Customer_90,South,2023-09-25
91,Customer_91,West,2023-09-28
92,Customer_92,West,2023-10-01
93,Customer_93,South,2023-10-04
94,Customer_94,South,2023-10-07
95,Customer_95,South,2023-10-10
96,Customer_96,South,2023-10-13
97,Customer_97,South,2023-10-16
98,Customer_98,West,2023-10-19
99,Customer_99,South,2023-10-22
100,Customer_100,North,2023-10-25
