product_id,product_name,category,price
1,Product_1,Home,367.21
2,Product_2,Clothing,387.92
3,Product_3,Clothing,46.28
4,Product_4,Books,185.65
5,Product_5,Clothing,66.78
6,Product_6,Clothing,432.92
7,Product_7,Clothing,315.42
8,Product_8,Books,172.14
9,Product_9,Clothing,41.14
10,Product_10,Home,162.38
11,Product_11,Books,169.34
12,Product_12,Home,367.51
13,Product_13,Books,322.4
14,Product_14,Clothing,444.73
15,Product_15,Home,241.39
16,Product_16,Books,68.6
17,Product_17,Electronics,359.49
18,Product_18,Clothing,382.78
19,Product_19,Books,285.03
20,Product_20,Electronics,387.77
21,Product_21,Books,251.96
22,Product_22,Electronics,266.14
23,Product_23,Clothing,219.5
24,Product_24,Home,22.46
25,Product_25,Electronics,62.87
26,Product_26,Books,25.4
27,Product_27,Clothing,321.84
28,Product_28,Electronics,164.03
29,Product_29,Books,259.2
30,Product_30,Books,454.71
31,Product_31,Books,132.15
32,Product_32,Electronics,211.09
33,Product_33,Electronics,380.22
34,Product_34,Electronics,122.11
35,Product_35,Home,47.72
36,Product_36,Electronics,151.98
37,Product_37,Electronics,89.0
38,Product_38,Electronics,465.55
39,Product_39,Home,405.98
40,Product_40,Electronics,320.37
41,Product_41,Books,437.02
42,Product_42,Electronics,403.8
43,Product_43,Books,101.42
44,Product_44,Books,447.35
45,Product_45,Books,274.28
46,Product_46,Home,405.65
47,Product_47,Home,449.08
48,Product_48,Home,165.82
49,Product_49,Electronics,63.93
50,Product_50,Books,121.69
