SquareFeet,Bedrooms,Bathrooms,Age,Location,Price
3431.751595738491,4,1.5,41.082078488947765,Suburban,723194.955777353
3544.199480516108,1,2.0,5.068992123493176,Rural,675122.5189675086
3733.232754691863,4,2.0,39.59456618978646,Suburban,762953.7916828352
2179.152705642548,1,2.5,40.5786002175774,Urban,545922.9798321194
1820.3738186276441,5,1.0,24.113700004077177,Rural,467860.85283067764
2663.0359891011644,5,1.5,2.8655155005243405,Suburban,698195.09273902
1987.7517550004081,5,2.5,8.72949256235932,Rural,583756.2525384119
2723.437333760746,3,1.0,35.37131375809662,Urban,617329.5419099256
3057.8747604602386,5,2.0,35.58889724954747,Rural,675114.8568321347
3002.896059174838,4,2.0,44.917763758383266,Urban,707153.1975607483
1998.5692384643883,2,2.5,29.134307327729143,Suburban,482396.2752240165
1333.9526454360089,1,2.0,6.205368385688869,Urban,404127.56943078997
2177.693883079064,3,3.0,6.070745275248607,Suburban,575105.9691065163
1256.301261062108,5,2.5,36.05661786784118,Suburban,397283.8993757367
3648.3105125881866,5,1.0,9.189233255395058,Urban,799057.8316647988
1906.8078743611436,2,2.5,16.419274980830266,Suburban,490788.6811933116
1294.2711911146362,2,1.5,24.360600346095694,Rural,376793.9989653517
881.4328316984028,3,2.5,1.23824387880756,Suburban,362445.20211437927
2866.6316361167496,1,2.0,12.440951350996594,Urban,638601.5845060822
2838.0874158551783,5,2.0,20.394480425364,Rural,638049.4437901601
1889.9333330601332,3,3.0,13.981815924660312,Rural,528157.8610797661
1029.4780443124832,4,3.0,6.818516373378292,Suburban,427004.8368647138
2110.8124636647426,4,3.0,36.40061288980987,Suburban,561392.1747126859
1795.8959842028594,3,1.0,40.657382758399244,Urban,488492.02723172755
2966.78604715203,5,3.0,12.873948807186242,Rural,713706.5083355139
2738.493598248609,3,1.0,38.72097473031516,Urban,612377.6098354963
1966.699930232128,5,3.0,19.27767822006569,Suburban,593320.4022891597
1497.2561736159682,2,1.0,25.33428954270014,Rural,392391.7594549105
3961.715091697894,3,2.5,42.80005374465764,Urban,820642.8214365579
2252.8051878275674,5,2.5,37.497684090120394,Urban,612750.0010056046
3002.477554496759,3,2.0,40.255842565808884,Urban,674516.4892789301
1249.7694962507544,3,1.0,6.842258329317841,Urban,427107.8540297891
2353.887038910073,5,1.5,3.485971291686474,Urban,656019.2117949825
888.1175035822896,5,2.0,44.67023645439935,Rural,334830.18464049674
2417.4563773134396,1,2.5,19.391713478554717,Urban,558470.922403655
3884.8557027766474,3,1.0,14.393983903484042,Rural,789519.6453015858
2029.4614815545608,4,3.0,36.23481271309122,Urban,565279.622705537
924.7872402397171,3,1.5,41.82077982899283,Suburban,348825.16824982665
899.0585309418993,3,2.5,43.12448109491505,Suburban,347411.8785590071
2041.5576318299823,5,2.0,15.799857056261368,Urban,584381.2295167112
1312.079796682221,3,1.0,42.6106195600837,Suburban,390703.2772048229
874.7267082501949,3,1.5,2.046697218717269,Rural,370606.1281779907
3219.883564640566,4,1.0,2.483074572985944,Urban,759439.051245524
2267.27362842205,5,3.0,31.175959758707723,Rural,602226.7833659358
1725.5832703124945,3,2.0,3.1553184557773117,Urban,517246.75507902884
3680.2661856527384,2,1.0,16.230458425508075,Suburban,760670.2670800127
1171.644672641682,1,2.5,33.6377993123462,Rural,322995.0932853132
3858.9402526570216,4,2.0,16.863344802711318,Suburban,828748.5536106522
1804.693495607529,3,2.5,8.979989072004797,Suburban,560614.1583178432
3642.89175138778,2,1.0,14.067531092692082,Urban,773143.8527359881
2729.417204734277,3,2.0,22.878766612521588,Rural,603119.5894857825
3445.4635511727597,3,2.5,23.769292767774118,Suburban,732084.3950743119
3948.8421222734855,5,3.0,39.150011567360096,Urban,871749.4728278558
1722.8974010199863,5,3.0,37.507661471575624,Urban,557951.8643160105
3875.6335533042975,5,1.0,22.84089022780676,Urban,851419.6929511855
2046.3420636877452,2,2.0,42.28336745493857,Suburban,471697.38583345525
2033.6380951581514,3,1.5,5.711856929569792,Urban,543827.917488379
1889.2387336144182,1,2.0,12.767667511445074,Rural,458659.12915117724
2532.5043435122725,4,3.0,41.398823175112575,Rural,599324.728086504
1293.2641381711587,5,2.5,18.899701931307654,Suburban,471689.44217674655
2571.876753145636,5,1.5,49.05907793969211,Rural,612572.2329478513
2533.455399712013,3,1.0,23.31266407639177,Urban,661252.8399286002
3238.085800335584,3,1.5,39.59678114818821,Suburban,649375.4185667975
3467.679878200274,2,1.0,20.115352069118597,Urban,743773.8722066513
2209.412320999757,2,1.5,21.24767595312152,Suburban,524630.3263646078
1767.46639792478,5,1.0,19.144157364209175,Suburban,474084.2777022961
