YearsExperience,Salary
0.08283175685403599,33023.86661235467
0.3087674144370367,36120.84766069555
0.3812869011614278,33289.88850245723
0.5158278167282759,38293.25315621648
0.678409333658071,28794.92549712134
0.6967561907999659,35504.035238072516
0.8712541825229919,41745.74113632254
0.9533752542903545,38049.64431462092
0.9757738947791927,36166.62142750978
1.1106697760113553,36714.6173658618
1.1182596551965625,36890.71224722493
1.3273875307787923,31325.41908526344
1.465081710095758,49641.61911290522
1.6183714048995668,42227.77326967795
1.7380358928769457,35118.422374252885
1.7939136890745255,43079.86924534508
1.8305735226716824,38979.30876483219
2.0924079097806274,41767.315909802586
2.11386337462144,32531.900700301063
2.3399178050430396,43485.151882773935
2.340279606636548,40603.03859399518
2.557861855309373,43662.198340706054
2.727374508106509,44122.26028727275
2.7510676478015075,48598.56319167198
2.7728168328829055,54816.36229346442
2.939742936287178,47066.6768346118
2.9807352230125863,38301.39304964155
2.995106732375396,43261.961079243134
3.185086660174142,48491.77046643749
3.8816997240002538,53363.658355216496
4.070235476608438,48740.86980201381
4.214017645310712,52207.38789957421
4.368437102970629,44524.61077419255
4.3821697280282725,51936.41592335366
4.563633644393066,49307.90275257857
4.56920653760056,53147.183737707936
4.664734825734933,48450.265777538065
4.675666141341164,60392.302261386314
4.877749830401205,58324.17217071829
4.8799549614489655,62149.44683233253
4.963470372789738,48860.83437793545
5.3512999004038395,50602.177919849426
5.376985928164089,58350.29200731385
5.495427649405375,56304.20258015114
5.618101782710437,58525.74425474304
5.8301593453422305,55234.53026502997
6.413115275378244,63771.33625097444
6.479175279631736,60435.335632497896
6.602287406094019,64519.173742138155
6.841049763255539,57128.39510602562
7.08322387742924,67480.02402182869
7.406933945465861,62955.61830250212
7.427653651669052,61294.87807024759
7.713516576204174,64556.196534912786
7.801020317667162,61995.84627437442
7.840992440729911,68819.45365657903
7.871346474483568,67718.421639429
8.140441247373728,77237.92000828077
8.200654190149194,73937.55641974731
8.419157963542444,68327.10899592476
8.886218532930638,73624.66410632314
8.968499682166277,67089.18125550072
8.979877262955549,64961.54174177328
9.016725176148132,71041.15786627472
9.113172778521575,84996.79339866052
9.177793420835693,77369.56848950135
9.349471902413368,79116.52411662579
9.563362070328196,73713.39875988242
9.93783426530973,75142.23405257495
10.263495397682354,80355.67216450616
10.602860157714257,84266.76504030067
10.621088666940683,80596.65811678075
10.698671808344924,92977.32395499435
10.93510752061481,86407.77865055892
10.94409267507096,90513.44127039182
10.979909127171076,85358.3495185329
11.411775729253462,85831.93806625296
11.564507699318415,83374.96634846447
11.569055200289187,84445.15239355348
11.583671539449861,81733.6041428589
11.626992350416717,85303.47310406972
11.777639420895204,86784.97049064923
12.032954711310595,91087.9428492145
12.125960221746917,90497.23173148851
12.231921426822513,92644.53050027849
12.43106263727894,96222.89927324303
12.486639612006327,89784.39704119644
12.946551388133903,104061.6294963933
12.992642186624028,92371.8598417519
13.308191138644897,101357.8363394461
13.422410256414732,94594.67301149266
13.639806031181731,101958.69531934251
13.828113525346753,99483.38250076391
14.092484123462837,100960.67744275239
14.233283058799998,100794.18571516915
14.260714596148743,99808.53622841438
14.48448049611839,92828.54640409673
14.543769416468379,97766.16545668845
14.548647782429915,104386.994460448
14.80330404900776,107925.63460392535
