iteration,x,f(x),gradient,step_size
0,10.0,100.0,20.0,2.0
1,8.0,64.0,16.0,1.6
2,6.4,40.96000000000001,12.8,1.2800000000000002
3,5.12,26.2144,10.24,1.024
4,4.096,16.777216,8.192,0.8192
5,3.2768,10.73741824,6.5536,0.65536
6,2.62144,6.871947673600001,5.24288,0.5242880000000001
7,2.0971520000000003,4.398046511104002,4.194304000000001,0.4194304000000001
8,1.6777216000000004,2.8147497671065613,3.3554432000000007,0.3355443200000001
9,1.3421772800000003,1.801439850948199,2.6843545600000005,0.26843545600000007
10,1.0737418240000003,1.1529215046068475,2.1474836480000006,0.21474836480000006
11,0.8589934592000003,0.7378697629483825,1.7179869184000005,0.17179869184000007
12,0.6871947673600002,0.47223664828696477,1.3743895347200004,0.13743895347200005
13,0.5497558138880001,0.3022314549036574,1.0995116277760002,0.10995116277760003
14,0.43980465111040007,0.19342813113834073,0.8796093022208001,0.08796093022208001
15,0.35184372088832006,0.12379400392853807,0.7036874417766401,0.07036874417766402
16,0.281474976710656,0.07922816251426434,0.562949953421312,0.056294995342131206
17,0.22517998136852482,0.050706024009129186,0.45035996273704965,0.04503599627370497
18,0.18014398509481985,0.03245185536584268,0.3602879701896397,0.03602879701896397
19,0.14411518807585588,0.020769187434139313,0.28823037615171176,0.028823037615171177
20,0.11529215046068471,0.013292279957849162,0.23058430092136942,0.02305843009213694
21,0.09223372036854777,0.008507059173023463,0.18446744073709553,0.018446744073709553
22,0.07378697629483821,0.0054445178707350165,0.14757395258967643,0.014757395258967644
23,0.05902958103587057,0.00348449143727041,0.11805916207174114,0.011805916207174114
24,0.04722366482869646,0.002230074519853063,0.09444732965739291,0.009444732965739291
25,0.037778931862957166,0.0014272476927059603,0.07555786372591433,0.0075557863725914335
26,0.030223145490365734,0.0009134385233318147,0.06044629098073147,0.006044629098073147
27,0.024178516392292588,0.0005846006549323614,0.048357032784585176,0.004835703278458518
28,0.01934281311383407,0.0003741444191567113,0.03868562622766814,0.0038685626227668145
29,0.015474250491067256,0.00023945242826029522,0.030948500982134513,0.0030948500982134514
30,0.012379400392853806,0.00015324955408658894,0.02475880078570761,0.002475880078570761
31,0.009903520314283045,9.807971461541694e-05,0.01980704062856609,0.001980704062856609
32,0.007922816251426436,6.277101735386685e-05,0.015845632502852872,0.0015845632502852873
33,0.006338253001141149,4.017345110647478e-05,0.012676506002282298,0.00126765060022823
34,0.00507060240091292,2.5711008708143864e-05,0.01014120480182584,0.0010141204801825839
35,0.0040564819207303355,1.645504557321207e-05,0.008112963841460671,0.0008112963841460671
36,0.0032451855365842686,1.0531229166855727e-05,0.006490371073168537,0.0006490371073168537
37,0.002596148429267415,6.739986666787666e-06,0.00519229685853483,0.000519229685853483
38,0.002076918743413932,4.313591466744106e-06,0.004153837486827864,0.0004153837486827864
39,0.0016615349947311456,2.7606985387162283e-06,0.0033230699894622913,0.00033230699894622916
40,0.0013292279957849164,1.7668470647783858e-06,0.002658455991569833,0.0002658455991569833
41,0.001063382396627933,1.1307821214581668e-06,0.002126764793255866,0.00021267647932558662
42,0.0008507059173023465,7.237005577332268e-07,0.001701411834604693,0.00017014118346046932
43,0.0006805647338418772,4.631683569492651e-07,0.0013611294676837543,0.00013611294676837545
44,0.0005444517870735017,2.9642774844752964e-07,0.0010889035741470034,0.00010889035741470034
45,0.0004355614296588014,1.8971375900641897e-07,0.0008711228593176028,8.711228593176029e-05
46,0.0003484491437270411,1.2141680576410815e-07,0.0006968982874540822,6.968982874540823e-05
47,0.00027875931498163285,7.77067556890292e-08,0.0005575186299632657,5.575186299632657e-05
48,0.00022300745198530628,4.973232364097869e-08,0.00044601490397061256,4.460149039706126e-05
49,0.00017840596158824503,3.182868713022636e-08,0.00035681192317649007,3.568119231764901e-05
50,0.00014272476927059603,2.0370359763344873e-08,0.00028544953854119207,2.8544953854119208e-05
51,0.00011417981541647683,1.3037030248540721e-08,0.00022835963083295366,2.283596308329537e-05
52,9.134385233318146e-05,8.34369935906606e-09,0.00018268770466636292,1.8268770466636293e-05
53,7.307508186654517e-05,5.339967589802279e-09,0.00014615016373309035,1.4615016373309035e-05
54,5.846006549323614e-05,3.417579257473459e-09,0.00011692013098647228,1.1692013098647229e-05
55,4.676805239458891e-05,2.1872507247830133e-09,9.353610478917782e-05,9.353610478917782e-06
56,3.741444191567113e-05,1.3998404638611285e-09,7.482888383134226e-05,7.482888383134226e-06
57,2.9931553532536903e-05,8.958978968711224e-10,5.9863107065073806e-05,5.986310706507381e-06
58,2.3945242826029522e-05,5.733746539975183e-10,4.7890485652059045e-05,4.7890485652059045e-06
59,1.9156194260823618e-05,3.669597785584117e-10,3.8312388521647236e-05,3.831238852164724e-06
60,1.5324955408658896e-05,2.3485425827738353e-10,3.064991081731779e-05,3.0649910817317793e-06
61,1.2259964326927117e-05,1.5030672529752548e-10,2.4519928653854235e-05,2.4519928653854235e-06
62,9.807971461541694e-06,9.619630419041632e-11,1.961594292308339e-05,1.961594292308339e-06
63,7.846377169233355e-06,6.156563468186643e-11,1.569275433846671e-05,1.569275433846671e-06
64,6.277101735386684e-06,3.9402006196394516e-11,1.2554203470773367e-05,1.2554203470773367e-06
65,5.021681388309347e-06,2.521728396569249e-11,1.0043362776618694e-05,1.0043362776618695e-06
66,4.017345110647478e-06,1.6139061738043196e-11,8.034690221294956e-06,8.034690221294956e-07
67,3.213876088517982e-06,1.0328999512347646e-11,6.427752177035964e-06,6.427752177035965e-07
68,2.5711008708143856e-06,6.610559687902492e-12,5.142201741628771e-06,5.142201741628771e-07
69,2.0568806966515085e-06,4.230758200257595e-12,4.113761393303017e-06,4.113761393303017e-07
70,1.6455045573212068e-06,2.707685248164861e-12,3.2910091146424137e-06,3.2910091146424137e-07
71,1.3164036458569655e-06,1.7329185588255109e-12,2.632807291713931e-06,2.632807291713931e-07
72,1.0531229166855724e-06,1.109067877648327e-12,2.106245833371145e-06,2.106245833371145e-07
73,8.424983333484579e-07,7.098034416949293e-13,1.6849966666969158e-06,1.6849966666969158e-07
74,6.739986666787663e-07,4.542742026847547e-13,1.3479973333575326e-06,1.3479973333575327e-07
75,5.391989333430131e-07,2.907354897182431e-13,1.0783978666860262e-06,1.0783978666860262e-07
76,4.313591466744105e-07,1.8607071341967557e-13,8.62718293348821e-07,8.627182933488211e-08
