Age,Income,Experience_Years,Satisfaction_Score
39,28769.438869243786,9.431149441393133,6.2565074836168915
33,43690.320158519615,10.243138105472937,6.659728439704546
41,44859.282252098456,12.332204972701108,8.620940407684893
50,37965.84096167571,12.215208208139611,8.415555398150197
32,47580.71432500986,2.489322528171636,7.468647609053778
32,56060.762852218075,4.248699840339508,7.675991074963173
50,78292.78851815795,10.060141068834639,9.416497343682638
42,52618.66719247759,10.055143803648836,6.612642916746255
30,53863.25586084147,10.060190745224192,8.320646071755057
40,48883.311263507494,23.410925962618883,7.1967110213491585
30,21218.431770514377,10.283562042772669,7.17347819515917
30,49602.291868261746,12.542262560722396,9.148165277980786
37,50903.4531491154,11.81600705397281,8.738124523482044
15,86948.6316872793,10.605565005223191,8.720264454000958
17,47114.58552828316,6.738923021438618,9.458218210731493
29,54523.210135004185,11.03587688197307,7.531505762449139
24,49479.32345442135,4.908699141849713,8.522929456942446
38,32469.82943570702,7.0527255730399645,7.034599865109816
25,67142.34221772531,6.058545808683586,7.986249528732663
20,61278.99549030161,8.32749655754529,7.304785418448473
49,61865.47920564571,17.258634266694035,7.6454939474890775
32,36359.18817807891,0.5309392296330078,8.392735538155371
35,71041.91466404148,10.745040761498053,6.2726689751497915
20,28972.234058115788,1.5491365152413934,10.638580913528191
29,58802.85640700405,6.112272536842266,5.9909739277504475
36,82856.83438714968,12.355802387869463,5.6787170808184015
23,35141.955123039676,8.25712007638185,9.237166310250101
38,41505.53405595842,3.6890208882827755,8.687494040944404
28,51494.77047631462,5.1387851629601276,8.436179725578233
32,42447.86518825701,10.718390995738703,8.44251826389642
28,26740.04853400801,5.078533473131453,7.481629840729628
53,51028.44462209041,8.8658343583279,6.154118442771253
34,34065.44429410843,8.182287359615255,7.613706837290589
24,57103.88645952773,5.393598609576731,6.484257432731832
43,36208.63648649295,16.5757763573013,8.962679600126627
22,73249.01607526309,10.535676089272044,7.279413927746792
37,38251.20061495644,-0.10057034663042863,6.261754204811233
15,45169.07725691487,8.745817259077711,7.01792123752051
21,62202.758260545044,5.352854140926448,8.119397181413436
36,31537.03525349067,11.409733339184896,6.654413170794038
42,53411.899019061944,4.829917046269197,6.266669406650353
36,69607.14131423642,7.541054234132404,7.865530817237868
33,25887.75148158159,10.019949115921829,7.867449856663084
31,52769.507877984564,11.463020776680485,6.739585236943306
20,53898.24191372635,3.198814371776895,6.7934425415725155
27,61727.34307665966,6.661995056636206,7.848074906036454
30,31445.73933682877,6.100218755356176,5.3278734877540135
45,30193.150803735854,5.386683069705152,5.388804338435167
38,57829.12348425346,15.061816961124388,6.422333668121346
17,54454.77009849779,9.619926843843823,7.1798292724322295
38,53757.39275518815,2.9564641826598193,7.966361348397007
31,55196.72314245463,11.671447788219105,9.713034325424328
28,39799.62917632264,16.488624788050533,8.786489434803029
41,53483.80545741505,12.129861042204588,7.2600922050548595
45,54396.08709948022,1.9225201361839463,7.471475688145967
44,39284.72872960448,6.063063708534995,5.996205953043287
26,77986.61766717135,13.06764459674649,7.472230296011415
31,57107.49381367681,5.169322137524877,7.067012041619792
38,32130.44754196027,9.775277712584913,7.984077840507134
44,59848.30412950744,11.098536213717347,6.259153584671516
30,35379.77494659018,4.292278113687669,8.279019771361758
33,61806.26905613678,7.7618985757528,9.799108369503866
23,67378.93368511106,-4.96506936027629,7.3368597773147135
23,37689.76522472434,3.9024494346628407,8.102567583148412
43,64450.64193866483,6.989727394427359,8.53521598756667
48,56191.71390404747,3.008867272140602,6.898169292171246
34,62330.90239991735,14.529645215726541,7.836138722715625
45,78451.89473980921,2.2794344881574693,7.5188886011726925
38,46319.17825995694,6.239822053212065,7.646514147823248
28,38693.95753463766,8.522962309144365,6.3404853242168
38,36657.28355561715,13.765093156264463,7.536765261388414
50,37762.845725518426,2.2565513952822425,8.246997436868174
34,48843.47435878844,12.652655008619838,9.676715411692562
50,55117.279622249654,8.040932244078348,8.93890623912781
8,54150.36198995029,4.073965395808196,10.729773686267334
43,62407.74873554036,9.848413897053083,6.348978655667926
35,50195.02837816861,8.79623878229388,8.808480955081016
32,71803.01115735975,5.599132491364822,7.7750130086075275
35,46030.147501430656,8.279208339960075,10.78470439982651
15,90802.53749884429,6.458745612552959,6.287552571967273
32,59385.01021647509,8.454069381004992,6.240417236728836
38,37142.63665375576,10.648522698084186,6.6009110318339665
49,33936.612529083315,14.344067264581408,4.31415641353529
29,57237.08622864778,3.048738004692604,6.711367467478858
26,46648.05822011224,16.532133498625065,6.361301007669454
29,60710.007411381375,0.19164880190999245,7.725590679714312
44,57098.56436860317,7.392859619857667,8.012633963665738
38,48907.56631014691,10.353268825938306,10.314256258823828
29,37298.094228973925,9.12396747094013,8.925635757279075
40,27277.291629712032,5.509201920717625,6.634644516506396
35,43302.275718994686,7.167510998570899,6.152377992977463
44,62845.981914852084,6.0279962613646685,8.23787875725976
27,53211.40616195306,5.642540972223154,5.519650189469036
31,31313.91831932018,11.398408388084098,10.24718814878153
31,52597.71388776773,9.42806194386019,9.269160181081931
20,55779.76069593255,5.228361618957383,6.796236521842943
37,36742.138456983004,11.598399501733002,4.930298206363684
37,52305.87658918292,9.229198083506438,9.530808561248119
35,50873.13077669,11.25144847535584,7.328190232121073
32,32855.44553254065,10.518515367694448,9.356724467960193
